Category: Games,,
Week,The Queen's Gambit: (Worldwide),chess: (Worldwide)
25/11/2018,<1,46
02/12/2018,0,32
09/12/2018,<1,29
16/12/2018,0,32
23/12/2018,0,34
30/12/2018,<1,31
06/01/2019,0,29
13/01/2019,0,31
20/01/2019,0,33
27/01/2019,0,36
03/02/2019,0,34
10/02/2019,0,32
17/02/2019,0,34
24/02/2019,0,31
03/03/2019,0,31
10/03/2019,0,29
17/03/2019,0,32
24/03/2019,0,31
31/03/2019,<1,31
07/04/2019,0,29
14/04/2019,0,31
21/04/2019,0,35
28/04/2019,0,31
05/05/2019,<1,31
12/05/2019,0,29
19/05/2019,0,30
26/05/2019,0,32
02/06/2019,<1,32
09/06/2019,0,36
16/06/2019,0,36
23/06/2019,<1,34
30/06/2019,0,33
07/07/2019,0,32
14/07/2019,0,30
21/07/2019,0,31
28/07/2019,0,30
04/08/2019,<1,30
11/08/2019,0,30
18/08/2019,0,30
25/08/2019,0,29
01/09/2019,0,28
08/09/2019,0,29
15/09/2019,<1,29
22/09/2019,0,29
29/09/2019,0,29
06/10/2019,0,30
13/10/2019,0,30
20/10/2019,0,30
27/10/2019,0,31
03/11/2019,<1,31
10/11/2019,0,31
17/11/2019,0,32
24/11/2019,0,33
01/12/2019,0,32
08/12/2019,0,33
15/12/2019,0,34
22/12/2019,0,36
29/12/2019,0,36
05/01/2020,0,31
12/01/2020,0,32
19/01/2020,0,33
26/01/2020,0,29
02/02/2020,0,30
09/02/2020,<1,32
16/02/2020,0,32
23/02/2020,0,31
01/03/2020,0,29
08/03/2020,0,29
15/03/2020,0,33
22/03/2020,<1,38
29/03/2020,<1,37
05/04/2020,0,38
12/04/2020,0,40
19/04/2020,0,38
26/04/2020,<1,37
03/05/2020,0,35
10/05/2020,0,34
17/05/2020,0,35
24/05/2020,0,38
31/05/2020,0,35
07/06/2020,0,36
14/06/2020,0,36
21/06/2020,<1,35
28/06/2020,0,34
05/07/2020,<1,33
12/07/2020,0,34
19/07/2020,<1,33
26/07/2020,<1,33
02/08/2020,0,32
09/08/2020,<1,30
16/08/2020,<1,32
23/08/2020,<1,31
30/08/2020,<1,31
06/09/2020,<1,29
13/09/2020,<1,27
20/09/2020,<1,28
27/09/2020,<1,26
04/10/2020,<1,26
11/10/2020,<1,26
18/10/2020,5,27
25/10/2020,53,46
01/11/2020,53,45
08/11/2020,74,55
15/11/2020,84,58
22/11/2020,74,59
29/11/2020,59,58
06/12/2020,54,55
13/12/2020,44,54
20/12/2020,42,61
27/12/2020,50,63
03/01/2021,34,50
10/01/2021,27,50
17/01/2021,25,53
24/01/2021,20,53
31/01/2021,18,48
07/02/2021,15,48
14/02/2021,14,50
21/02/2021,12,45
28/02/2021,15,46
07/03/2021,12,40
14/03/2021,10,41
21/03/2021,9,43
28/03/2021,8,43
04/04/2021,8,40
11/04/2021,7,38
18/04/2021,6,40
25/04/2021,6,41
02/05/2021,6,40
09/05/2021,6,38
16/05/2021,5,37
23/05/2021,7,41
30/05/2021,5,40
06/06/2021,5,40
13/06/2021,4,36
20/06/2021,4,37
27/06/2021,4,36
04/07/2021,4,38
11/07/2021,5,39
18/07/2021,5,39
25/07/2021,5,38
01/08/2021,4,36
08/08/2021,4,35
15/08/2021,4,36
22/08/2021,4,35
29/08/2021,3,34
05/09/2021,3,35
12/09/2021,4,35
19/09/2021,6,36
26/09/2021,4,34
03/10/2021,3,33
10/10/2021,3,33
17/10/2021,3,34
24/10/2021,4,34
31/10/2021,4,36
07/11/2021,3,35
14/11/2021,3,35
21/11/2021,4,45
28/11/2021,3,49
05/12/2021,3,51
12/12/2021,3,43
19/12/2021,4,43
26/12/2021,5,48
02/01/2022,5,42
09/01/2022,4,40
16/01/2022,4,39
23/01/2022,3,39
30/01/2022,4,41
06/02/2022,3,40
13/02/2022,3,39
20/02/2022,3,40
27/02/2022,3,37
06/03/2022,2,38
13/03/2022,2,38
20/03/2022,2,38
27/03/2022,2,40
03/04/2022,3,38
10/04/2022,2,41
17/04/2022,3,41
24/04/2022,2,38
01/05/2022,2,39
08/05/2022,2,37
15/05/2022,3,40
22/05/2022,2,40
29/05/2022,2,39
05/06/2022,2,44
12/06/2022,3,42
19/06/2022,3,44
26/06/2022,3,46
03/07/2022,3,42
10/07/2022,2,42
17/07/2022,2,46
24/07/2022,2,53
31/07/2022,2,56
07/08/2022,2,55
14/08/2022,2,44
21/08/2022,2,45
28/08/2022,2,44
04/09/2022,2,47
11/09/2022,2,48
18/09/2022,2,52
25/09/2022,2,50
02/10/2022,2,52
09/10/2022,2,49
16/10/2022,2,49
23/10/2022,2,47
30/10/2022,2,46
06/11/2022,2,46
13/11/2022,2,50
20/11/2022,2,49
27/11/2022,2,48
04/12/2022,2,54
11/12/2022,2,60
18/12/2022,3,66
25/12/2022,3,78
01/01/2023,3,73
08/01/2023,4,77
15/01/2023,3,85
22/01/2023,4,97
29/01/2023,4,94
05/02/2023,3,95
12/02/2023,3,89
19/02/2023,3,89
26/02/2023,3,84
05/03/2023,3,83
12/03/2023,3,75
19/03/2023,3,77
26/03/2023,2,75
02/04/2023,2,74
09/04/2023,2,79
16/04/2023,2,78
23/04/2023,3,75
30/04/2023,3,76
07/05/2023,3,67
14/05/2023,2,68
21/05/2023,2,64
28/05/2023,2,63
04/06/2023,2,60
11/06/2023,2,56
18/06/2023,2,56
25/06/2023,2,57
02/07/2023,2,58
09/07/2023,2,56
16/07/2023,2,59
23/07/2023,2,56
30/07/2023,2,54
06/08/2023,2,57
13/08/2023,2,59
20/08/2023,3,100
27/08/2023,2,68
03/09/2023,3,63
10/09/2023,2,66
17/09/2023,2,66
24/09/2023,2,61
01/10/2023,2,58
08/10/2023,2,57
15/10/2023,3,59
22/10/2023,2,56
29/10/2023,2,54
05/11/2023,2,55
12/11/2023,2,52
19/11/2023,2,54
